sol_id,cargolist,ships,constr,algo,b_var,hc,hc_n,iter_n,packages_n,total_costs,total_costs_pct,mass_pct,volume_pct
0,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
1,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
2,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
3,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
4,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
5,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
6,3,True,False,greedy,first,True,100,1000,1250,43380272945,13.04,80.35,77.61
7,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
8,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
9,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
10,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
11,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
12,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
13,3,True,False,greedy,first,True,100,1000,1250,43380067450,13.04,80.35,77.63
14,3,True,False,greedy,first,True,100,1000,1250,43380025330,13.04,80.33,77.53
15,3,True,False,greedy,first,True,100,1000,1250,43380025330,13.04,80.33,77.53
16,3,True,False,greedy,first,True,100,1000,1250,43380025330,13.04,80.33,77.53
17,3,True,False,greedy,first,True,100,1000,1250,43380025330,13.04,80.33,77.53
18,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
19,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
20,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
21,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
22,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
23,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
24,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
25,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
26,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
27,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
28,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
29,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
30,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
31,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
32,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
33,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
34,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
35,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
36,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
37,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
38,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
39,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
40,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
41,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
42,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
43,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
44,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
45,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
46,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
47,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
48,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
49,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
50,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
51,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
52,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
53,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
54,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
55,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
56,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
57,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
58,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
59,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
60,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
61,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
62,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
63,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
64,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
65,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
66,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
67,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
68,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
69,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
70,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
71,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
72,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
73,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
74,3,True,False,greedy,first,True,100,1000,1250,43379681120,13.04,80.3,77.74
75,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
76,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
77,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
78,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
79,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
80,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
81,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
82,3,True,False,greedy,first,True,100,1000,1250,43379575990,13.04,80.42,77.72
83,3,True,False,greedy,first,True,100,1000,1250,43379529425,13.04,80.47,77.69
84,3,True,False,greedy,first,True,100,1000,1250,43379529425,13.04,80.47,77.69
85,3,True,False,greedy,first,True,100,1000,1250,43379529425,13.04,80.47,77.69
86,3,True,False,greedy,first,True,100,1000,1250,43379529425,13.04,80.47,77.69
